#catalogue_i     catalogue_j     ell_i   ell_j  s_i     s_j      Cov^-1_ij
post-recon post-recon 0 0 9.250000e+01 1.325000e+02 -1.894162e+04
post-recon post-recon 0 0 9.250000e+01 1.375000e+02 -7.730797e+04
post-recon post-recon 0 0 9.250000e+01 1.425000e+02 1.725294e+02
post-recon post-recon 0 0 9.250000e+01 1.475000e+02 1.228768e+05
post-recon post-recon 0 0 9.750000e+01 5.250000e+01 3.825555e+04
post-recon post-recon 0 0 9.750000e+01 5.750000e+01 -4.810284e+04
post-recon post-recon 0 0 9.750000e+01 6.250000e+01 -3.200306e+04
post-recon post-recon 0 0 9.750000e+01 6.750000e+01 -1.781575e+04
post-recon post-recon 0 0 9.750000e+01 7.250000e+01 -4.242528e+04
post-recon post-recon 0 0 9.750000e+01 7.750000e+01 -2.123155e+04
post-recon post-recon 0 0 9.750000e+01 8.250000e+01 -3.282502e+04
post-recon post-recon 0 0 9.750000e+01 8.750000e+01 -1.288698e+05
post-recon post-recon 0 0 9.750000e+01 9.250000e+01 -6.065994e+05
post-recon post-recon 0 0 9.750000e+01 9.750000e+01 2.015850e+06
post-recon post-recon 0 0 9.750000e+01 1.025000e+02 -4.509129e+05
post-recon post-recon 0 0 9.750000e+01 1.075000e+02 -2.603187e+05
post-recon post-recon 0 0 9.750000e+01 1.125000e+02 -2.515255e+05
post-recon post-recon 0 0 9.750000e+01 1.175000e+02 7.404491e+04
post-recon post-recon 0 0 9.750000e+01 1.225000e+02 -4.321003e+04
post-recon post-recon 0 0 9.750000e+01 1.275000e+02 -7.492981e+04
post-recon post-recon 0 0 9.750000e+01 1.325000e+02 -7.859887e+02
post-recon post-recon 0 0 9.750000e+01 1.375000e+02 6.927455e+03
post-recon post-recon 0 0 9.750000e+01 1.425000e+02 -5.259378e+04
post-recon post-recon 0 0 9.750000e+01 1.475000e+02 4.343643e+04
post-recon post-recon 0 0 1.025000e+02 5.250000e+01 3.982118e+03
post-recon post-recon 0 0 1.025000e+02 5.750000e+01 4.519460e+04
