#catalogue_i     catalogue_j     ell_i   ell_j  s_i     s_j      Cov^-1_ij
post-recon post-recon 0 0 1.025000e+02 8.750000e+01 -2.133502e+05
post-recon post-recon 0 0 1.025000e+02 9.250000e+01 -1.902921e+05
post-recon post-recon 0 0 1.025000e+02 9.750000e+01 -4.893995e+05
post-recon post-recon 0 0 1.025000e+02 1.025000e+02 1.881640e+06
post-recon post-recon 0 0 1.025000e+02 1.075000e+02 -5.261983e+05
post-recon post-recon 0 0 1.025000e+02 1.125000e+02 -1.346709e+05
post-recon post-recon 0 0 1.025000e+02 1.175000e+02 -1.420965e+05
post-recon post-recon 0 0 1.025000e+02 1.225000e+02 -3.574170e+04
post-recon post-recon 0 0 1.025000e+02 1.275000e+02 -3.221678e+04
post-recon post-recon 0 0 1.025000e+02 1.325000e+02 8.568604e+04
post-recon post-recon 0 0 1.025000e+02 1.375000e+02 -8.536338e+04
post-recon post-recon 0 0 1.025000e+02 1.425000e+02 3.369744e+04
post-recon post-recon 0 0 1.025000e+02 1.475000e+02 -1.122018e+05
post-recon post-recon 0 0 1.075000e+02 5.250000e+01 2.557116e+04
post-recon post-recon 0 0 1.075000e+02 5.750000e+01 -2.583031e+03
post-recon post-recon 0 0 1.075000e+02 6.250000e+01 -2.491276e+04
post-recon post-recon 0 0 1.075000e+02 6.750000e+01 -5.774679e+03
post-recon post-recon 0 0 1.075000e+02 7.250000e+01 -6.298537e+04
post-recon post-recon 0 0 1.075000e+02 7.750000e+01 3.634962e+04
post-recon post-recon 0 0 1.075000e+02 8.250000e+01 -4.254016e+04
post-recon post-recon 0 0 1.075000e+02 8.750000e+01 8.809893e+03
post-recon post-recon 0 0 1.075000e+02 9.250000e+01 -1.351244e+05
post-recon post-recon 0 0 1.075000e+02 9.750000e+01 -1.892093e+05
post-recon post-recon 0 0 1.075000e+02 1.025000e+02 -5.261983e+05
post-recon post-recon 0 0 1.075000e+02 1.075000e+02 2.090394e+06
post-recon post-recon 0 0 1.075000e+02 1.125000e+02 -6.323802e+05
post-recon post-recon 0 0 1.075000e+02 1.175000e+02 -1.777167e+05
post-recon post-recon 0 0 1.075000e+02 1.225000e+02 -2.301214e+05
post-recon post-recon 0 0 1.075000e+02 1.275000e+02 -1.121487e+04
post-recon post-recon 0 0 1.075000e+02 1.325000e+02 -8.526012e+04
post-recon post-recon 0 0 1.075000e+02 1.375000e+02 -4.553208e+04
post-recon post-recon 0 0 1.075000e+02 1.425000e+02 -7.920923e+03
post-recon post-recon 0 0 1.075000e+02 1.475000e+02 8.028484e+03
post-recon post-recon 0 0 1.125000e+02 5.250000e+01 -4.004571e+04
post-recon post-recon 0 0 1.125000e+02 5.750000e+01 -1.227132e+04
post-recon post-recon 0 0 1.125000e+02 6.250000e+01 3.666327e+04
post-recon post-recon 0 0 1.125000e+02 6.750000e+01 1.255858e+04
post-recon post-recon 0 0 1.125000e+02 7.250000e+01 4.173635e+01
post-recon post-recon 0 0 1.125000e+02 7.750000e+01 -1.101145e+05
post-recon post-recon 0 0 1.125000e+02 8.250000e+01 1.480449e+04
post-recon post-recon 0 0 1.125000e+02 8.750000e+01 2.169417e+04
post-recon post-recon 0 0 1.125000e+02 9.250000e+01 7.134607e+04
post-recon post-recon 0 0 1.125000e+02 9.750000e+01 -2.016106e+05
post-recon post-recon 0 0 1.125000e+02 1.025000e+02 -1.346709e+05
